"Gene","logFC"
"Gene_12",-0.0460899713166341
"Gene_13",-0.0470598255200021
"Gene_16",-0.0613630374404806
"Gene_18",-0.0424901110649523
"Gene_19",-0.0243825101365602
"Gene_21",-0.00921981486523782
"Gene_27",-0.031469052468371
"Gene_36",-0.0108757495978029
"Gene_38",-0.0510937530885056
"Gene_41",-0.0214419348669281
"Gene_43",-0.00861933147756755
"Gene_47",-0.0313814229747118
"Gene_49",-0.00423127322788686
"Gene_50",-0.00255682156654746
"Gene_51",-0.046427237816201
"Gene_56",-0.0335282493874618
"Gene_62",-0.0127846281394102
"Gene_68",-0.0462380569316614
"Gene_70",-0.0392130576813936
"Gene_73",-0.00654371152596767
"Gene_80",-0.0702220308118071
"Gene_87",-0.00251018288733418
"Gene_89",-0.00584373991915932
"Gene_95",-0.0547180681012556
"Gene_96",-0.0405546703333486
"Gene_107",-0.0290981589632593
"Gene_111",-0.0460652414187175
"Gene_116",-0.060156196031163
"Gene_122",-0.0158285025328735
"Gene_123",-0.0472128560969689
"Gene_124",-0.0168223060511918
"Gene_126",-0.0443708459274919
"Gene_132",-0.000497223838482164
"Gene_138",-0.00762811118720963
"Gene_144",-0.0320172282467217
"Gene_145",-0.017477224139629
"Gene_146",-0.0081153117533086
"Gene_149",-0.0201634689378252
"Gene_150",-0.0352978189279773
"Gene_151",-0.0249127302429115
"Gene_155",-0.0381964654525855
"Gene_158",-0.0237822996204167
"Gene_160",-0.0439902384253679
"Gene_170",-0.0351844763536637
"Gene_171",-0.0274570571646331
"Gene_173",-0.0196662245248311
"Gene_174",-0.00721530117246472
"Gene_175",-0.0308988257242806
"Gene_177",-0.0416647194472608
"Gene_183",-0.0181103462586707
"Gene_185",-0.08718596711847
"Gene_186",-0.041286179187856
"Gene_193",-0.0164849924925794
"Gene_196",-0.0276834620123445
"Gene_200",-0.0383432475375449
"Gene_201",-0.0509403784675788
"Gene_205",-0.0689313591367262
"Gene_206",-0.0178893185002882
"Gene_208",-0.010308619926525
"Gene_209",-0.0139146504878012
"Gene_211",-0.102164739750109
"Gene_214",-0.0300860050051641
"Gene_215",-0.0390641108523568
"Gene_218",-0.0474814555194643
"Gene_220",-0.063292870577162
"Gene_223",-0.008015649625849
"Gene_227",-0.0462766031918287
"Gene_228",-0.00246966928907222
"Gene_229",-0.00590088362903041
"Gene_230",-0.0177709819945226
"Gene_235",-0.00121824728586706
"Gene_237",-0.027942927764629
"Gene_243",-0.0945346387449981
"Gene_250",-0.0402017237315015
"Gene_253",-0.00749302465346036
"Gene_256",-0.00271337716752384
"Gene_264",-0.0464349850580033
"Gene_266",-0.0414982664913808
"Gene_269",-0.000280480470180589
"Gene_270",-0.019290508761368
"Gene_271",-0.0150685705644329
"Gene_276",-0.0398635285180173
"Gene_280",-0.0636014200895882
"Gene_285",-0.0589144347972272
"Gene_290",-0.0634686980428047
"Gene_294",-0.0568445074817951
"Gene_296",-0.0238704768539035
"Gene_297",-0.0333411258468335
"Gene_301",-0.0249354410282918
"Gene_303",-0.00655357277485669
"Gene_304",-0.0596388657524893
"Gene_306",-0.0110233230322394
"Gene_308",-0.132710164782515
"Gene_309",-0.0418266641169329
"Gene_315",-0.0254727135948412
"Gene_316",-0.0380751193313431
"Gene_318",-0.046851794965459
"Gene_319",-0.0144525209343658
"Gene_323",-0.00222908263592014
"Gene_330",-0.030222007593506
"Gene_331",-0.0956787389868392
"Gene_333",-0.015571140043062
"Gene_337",-0.0298439154631969
"Gene_340",-0.0480757777540992
"Gene_343",-0.0213192181302131
"Gene_344",-0.104646423442097
"Gene_349",-0.0400087251509658
"Gene_351",-0.0523045866705956
"Gene_353",-0.0804505952826973
"Gene_355",-0.0511174526635272
"Gene_356",-0.00576026444821753
"Gene_357",-0.00253960698651756
"Gene_359",-0.041629544043269
"Gene_360",-0.0124520051983827
"Gene_361",-0.0171413582701647
"Gene_364",-0.0099623932216284
"Gene_372",-0.0331346433282191
"Gene_375",-0.0024662563650466
"Gene_379",-0.0317111765459188
"Gene_384",-0.00333281052914414
"Gene_385",-0.0195137238086165
"Gene_392",-0.0102323065628065
"Gene_393",-0.0672269796822436
"Gene_398",-0.0428856060276575
"Gene_404",-0.0202105969228117
"Gene_407",-0.028359205236193
"Gene_413",-0.0135731977069224
"Gene_414",-0.0127972861858807
"Gene_419",-0.0477361620071282
"Gene_422",-0.024479157203193
"Gene_428",-0.020953713870639
"Gene_433",-0.0216356086035878
"Gene_435",-0.0817942665458373
"Gene_437",-0.0297660785128642
"Gene_440",-0.0507171498615149
"Gene_443",-0.0251205081912218
"Gene_444",-0.00735946163206513
"Gene_451",-0.022947717165108
"Gene_452",-0.104635481724281
"Gene_455",-0.0261821706053595
"Gene_456",-0.0254593148649107
"Gene_459",-0.0466011834574718
"Gene_460",-0.0370448125243699
"Gene_466",-0.0245041217649726
"Gene_468",-0.0966438622741004
"Gene_470",-0.0880588968608862
"Gene_471",-0.0295497035272461
"Gene_480",-0.0232794074386078
"Gene_485",-0.0122112171036557
"Gene_487",-0.0260683659520229
"Gene_493",-0.0064147708343727
"Gene_494",-0.0042030656973191
"Gene_495",-0.0437543086168888
"Gene_498",-0.00917509028988839
"Gene_499",-0.00835286013785463
"Gene_501",-0.0179273636847115
"Gene_502",-0.00656090749639482
"Gene_503",-0.00427029594522299
"Gene_505",-0.0194461118733105
"Gene_506",-0.0313460481244707
"Gene_509",-0.0279496091731595
"Gene_519",-0.0420589733146102
"Gene_522",-0.0129121201727971
"Gene_524",-0.0161449374307545
"Gene_527",-0.0152233981276377
"Gene_530",-0.00419443861911795
"Gene_537",-0.0879036124160706
"Gene_538",-0.0257006843881911
"Gene_546",-0.000424273067256564
"Gene_547",-0.167075687362473
"Gene_553",-0.00656914351887972
"Gene_557",-0.0191187800405794
"Gene_566",-0.0414508210645659
"Gene_571",-0.00580214244262667
"Gene_573",-0.0212977145590454
"Gene_579",-0.0244466029710426
"Gene_582",-0.0465020425488278
"Gene_587",-0.0617844806300787
"Gene_589",-0.0464622097505862
"Gene_593",-0.0409162422033726
"Gene_600",-0.161134128763628
"Gene_602",-0.0534959562105723
"Gene_603",-0.0557753451455887
"Gene_605",-0.0593937322490272
"Gene_607",-0.00500662870150448
"Gene_609",-0.0414333911251927
"Gene_611",-0.00573346811861652
"Gene_612",-0.0206645601791586
"Gene_613",-0.00602065707255361
"Gene_622",-0.00685462625860644
"Gene_627",-0.0447997885539455
"Gene_629",-0.00799155330990109
"Gene_633",-0.0350806903846741
"Gene_635",-0.0225099302942926
"Gene_637",-0.0280506957359878
"Gene_646",-0.00512470303749035
"Gene_653",-0.00442043235344958
"Gene_654",-0.0318664370414719
"Gene_658",-0.0752166136488603
"Gene_667",-0.0103835078212642
"Gene_671",-0.00927212902605179
"Gene_679",-0.00206786300308615
"Gene_688",-0.0399061893278829
"Gene_690",-0.0537282035034332
