"Gene","logFC"
"Gene_1",0.050318816634547
"Gene_2",0.071802726910231
"Gene_3",0.00246170359522857
"Gene_4",0.0882115416257512
"Gene_5",0.0520530117410352
"Gene_6",0.0489479111100111
"Gene_7",0.0692663499413042
"Gene_8",0.0331923595470118
"Gene_9",0.0961207780939093
"Gene_10",0.0241648791655882
"Gene_11",0.0871561028828807
"Gene_14",0.0224709947244062
"Gene_15",0.0795387172250188
"Gene_17",0.155518270791273
"Gene_20",0.105506669839073
"Gene_22",0.0985862958521033
"Gene_23",0.0167382897684849
"Gene_24",0.109866146860945
"Gene_25",0.0380075297818361
"Gene_26",0.0912997258535464
"Gene_28",0.029054308207864
"Gene_29",0.0666390578709768
"Gene_30",0.0866768318144433
"Gene_31",0.00306602896917862
"Gene_32",0.0388365278126712
"Gene_33",0.0138712371293863
"Gene_34",0.0339957226784739
"Gene_35",0.0222285911878197
"Gene_37",0.0264588532972994
"Gene_39",0.0798148244575345
"Gene_40",0.0337174233891782
"Gene_42",0.0254628375361872
"Gene_44",0.0905982981675209
"Gene_45",0.0562233871005211
"Gene_46",0.0564097199210489
"Gene_48",0.021318327342212
"Gene_52",0.0463121140083977
"Gene_53",0.0262412403593717
"Gene_54",9.60245795065262e-05
"Gene_55",0.05829266085453
"Gene_57",0.0139604955479822
"Gene_58",0.0188867796383976
"Gene_59",0.0606470467402009
"Gene_60",0.0956215034471657
"Gene_61",0.0294229872026124
"Gene_63",0.00625929520313795
"Gene_64",0.00512712481080113
"Gene_65",0.0960319777884129
"Gene_66",0.103021808962815
"Gene_67",0.0147298675383576
"Gene_69",0.0597645265695284
"Gene_71",0.0408819738687356
"Gene_72",0.0474373995913138
"Gene_74",0.0288725503594018
"Gene_75",0.0397183701349078
"Gene_76",0.00473117046612836
"Gene_77",0.0962688944409527
"Gene_78",0.0139090462205078
"Gene_79",0.0309190482973021
"Gene_81",0.0354017621415781
"Gene_82",0.0124993062165406
"Gene_83",0.0413526524978036
"Gene_84",0.0386908463039402
"Gene_85",0.0448095706522689
"Gene_86",0.00981200134103721
"Gene_88",0.0295138498702259
"Gene_90",0.0652337734119652
"Gene_91",0.0152183168005542
"Gene_92",0.0277452257143143
"Gene_93",0.0200920827181235
"Gene_94",0.022400154679262
"Gene_97",0.0712430406252937
"Gene_98",0.0302317505237126
"Gene_99",0.0568724037774833
"Gene_100",0.0834014904383831
"Gene_101",0.0285591903218028
"Gene_102",0.091483584128742
"Gene_103",0.0833877399932521
"Gene_104",0.0562101436070748
"Gene_105",0.0532383735662698
"Gene_106",0.00376560961494921
"Gene_108",0.00407316028418814
"Gene_109",0.0436375886980165
"Gene_110",0.0204318570707627
"Gene_112",0.0030359977911818
"Gene_113",0.0241566061853704
"Gene_114",0.0500900195403791
"Gene_115",0.0269822731977714
"Gene_117",0.034886143269766
"Gene_118",0.024263009499057
"Gene_119",0.0147883911697178
"Gene_120",0.0461241226044264
"Gene_121",0.0687745080972384
"Gene_125",0.0347057213556528
"Gene_127",0.0469961272949004
"Gene_128",0.0510685416426027
"Gene_129",0.0583886593220635
"Gene_130",0.0847360222162616
"Gene_131",0.0651487338546493
"Gene_133",0.0518578019048328
"Gene_134",0.0568406128472714
"Gene_135",0.0550973513529565
"Gene_136",0.0353020652499647
"Gene_137",0.0424636864480878
"Gene_139",0.00336469896929659
"Gene_140",0.0045192256882296
"Gene_141",0.116770188057983
"Gene_142",0.0203788826425559
"Gene_143",0.0847115698471828
"Gene_147",0.0334633367455992
"Gene_148",0.00575613891484528
"Gene_152",0.100049366101996
"Gene_153",0.0129288138297756
"Gene_154",0.0026963123282111
"Gene_156",0.142553107591563
"Gene_157",0.0242591110433246
"Gene_159",0.0403889554554571
"Gene_161",0.076253191356181
"Gene_162",0.00368149521064032
"Gene_163",0.120551141012837
"Gene_164",0.00149897722809422
"Gene_165",0.0576449946016124
"Gene_166",0.0399807915347186
"Gene_167",0.1220806696573
"Gene_168",0.0583920156860649
"Gene_169",0.0680370598759579
"Gene_172",0.0401518756327066
"Gene_176",0.0335565242490774
"Gene_178",0.00372816428048051
"Gene_179",0.0222249045378353
"Gene_180",0.0853158714256406
"Gene_181",0.0901436407939196
"Gene_182",0.0313954512230623
"Gene_184",0.0338329178033376
"Gene_187",0.0097559751242513
"Gene_188",0.00611647329339604
"Gene_189",0.0174768841953767
"Gene_190",0.0131680431677443
"Gene_191",0.0197458309199048
"Gene_192",0.00806421629594745
"Gene_194",0.0206104696507787
"Gene_195",0.112778105695598
"Gene_197",0.0357785557291201
"Gene_198",0.0810770582376934
"Gene_199",0.129461831436669
"Gene_202",0.0397777110893625
"Gene_203",0.0925233903392222
"Gene_204",0.112665916512436
"Gene_207",0.0136876837181212
"Gene_210",0.0247893081082964
"Gene_212",0.0375133065517304
"Gene_213",0.0400429681147627
"Gene_216",0.0265990197817145
"Gene_217",0.00239300331255787
"Gene_219",0.0838014133018303
"Gene_221",0.0551243769210479
"Gene_222",0.0354759857624236
"Gene_224",0.0490978686904211
"Gene_225",0.0703482858416207
"Gene_226",0.0985317060634654
"Gene_231",0.068262405992304
"Gene_232",0.0115017593926185
"Gene_233",0.0457416272054636
"Gene_234",0.0368625684745503
"Gene_236",0.0233587110371358
"Gene_238",0.0587173000427419
"Gene_239",0.0690611760762145
"Gene_240",0.0299019477383555
"Gene_241",0.0289287745351916
"Gene_242",0.0641617249247268
"Gene_244",0.0759259808660948
"Gene_245",0.0517072454464893
"Gene_246",0.102308289878057
"Gene_247",0.0475127352373566
"Gene_248",0.060597855714891
"Gene_249",0.0354607363392052
"Gene_251",0.0543572719469498
"Gene_252",0.0319077263085163
"Gene_254",0.164636174638298
"Gene_255",0.0126829010029348
"Gene_257",0.0157762360322105
"Gene_258",0.000495430259209062
"Gene_259",0.0371359833853893
"Gene_260",0.0991543587277333
"Gene_261",0.0282367932538303
"Gene_262",0.0613169135814777
"Gene_263",0.0600206934802014
"Gene_265",0.0516295803235112
"Gene_267",0.0584012978258248
"Gene_268",0.0661666322006251
"Gene_272",0.0188113150214755
"Gene_273",0.00375705300973017
"Gene_274",0.0647391876268077
"Gene_275",0.0245837446421002
"Gene_277",0.126929380279242
"Gene_278",0.0162207088977628
"Gene_279",0.0641553670138588
"Gene_281",0.0713976984179112
"Gene_282",0.0410924514112576
"Gene_283",0.0355336693803872
"Gene_284",0.0974090985491052
"Gene_286",0.0762466502891925
"Gene_287",0.109240521658219
"Gene_288",0.0422781536996171
"Gene_289",0.0366556610987114
"Gene_291",0.0365633321633365
"Gene_292",0.0854098785285671
"Gene_293",0.038966161879936
"Gene_295",0.0444964458700148
"Gene_298",0.0240979203023599
"Gene_299",0.0994067567873897
"Gene_300",0.143633681180503
"Gene_302",0.0572062652674967
"Gene_305",0.10954272601883
"Gene_307",0.00189135651153416
"Gene_310",0.0493397942199589
"Gene_311",0.0709730640244506
"Gene_312",0.0146977392216772
"Gene_313",0.0175626740798074
"Gene_314",0.0927213757186842
"Gene_317",0.0514649300488563
"Gene_320",0.0270794669788286
"Gene_321",0.0330403670279988
"Gene_322",0.00894441960081593
"Gene_324",0.0296148896265764
"Gene_325",0.0604218381616524
"Gene_326",0.0654990766441315
"Gene_327",0.0211584666928211
"Gene_328",0.0134891272513968
"Gene_329",0.0070680182704792
"Gene_332",0.0494634801558722
"Gene_334",0.0285229428451106
"Gene_335",0.106950834709331
"Gene_336",0.0735475812009772
"Gene_338",0.0253503006804787
"Gene_339",0.123206490669417
"Gene_341",0.0176605267162433
"Gene_342",0.0570352503338034
"Gene_345",0.00247837906457438
"Gene_346",0.0653612394200791
"Gene_347",0.0568534983138167
